"date.x","month_year","swap","IPCA","IPCA_lag","ipcaanual","ipca_exp","ipca","selic","juro_real","juro_real_lag","IBC","hiato","hiato_lag","M1"
2005-10-01,"2005-10",17.8,0.75,0.35,6.36417583075486,0.35,4.71,19.252,12.1166963111265,12.7967611726439,111.13,-0.422484377786319,-0.443272526704776,121587.677
2005-11-01,"2005-11",17.16,0.55,0.75,6.21628642151557,0.37,4.79,18.8655,11.9089209429583,12.1166963111265,111.88,-0.120032826978345,-0.422484377786319,128417.217
2005-12-01,"2005-12",16.51,0.36,0.55,5.68973334585865,0.4,4.66,18.2418181818182,11.8763520718556,11.9089209429583,112.75,0.247153513290166,-0.120032826978345,146745.131
2006-01-01,"2006-01",16.05,0.59,0.36,5.70024137263792,0.4,4.48,17.6527272727273,11.3079078579885,11.8763520718556,113.6,0.592148766171756,0.247153513290166,131864.737
2006-02-01,"2006-02",15.52,0.41,0.59,5.51109689061116,0.38,4.62,17.2805555555556,11.1547116955351,11.3079078579885,113.74,0.257430928711484,0.592148766171756,133094.132
2006-03-01,"2006-03",14.98,0.43,0.41,5.32232840397653,0.35,4.44,16.735652173913,10.8365661326431,11.1547116955351,113.45,-0.493867732559922,0.257430928711484,130778.017
2006-04-01,"2006-04",14.7,0.21,0.43,4.63319648421221,0.33,4.36,16.195,11.0498425970694,10.8365661326431,114.37,-0.0600675285043678,-0.493867732559922,129541.055
2006-05-01,"2006-05",15,0.1,0.21,4.22711680833556,0.3,4.04,15.7013636363636,11.0088882618985,11.0498425970694,115.69,0.751666874396241,-0.0600675285043678,132963.024
2006-06-01,"2006-06",15.16,-0.21,0.1,4.0290456721725,0.3,4.17,15.1761904761905,10.7154158071834,11.0088882618985,114.37,-1.09082356296461,0.751666874396241,134245.964
2006-07-01,"2006-07",14.57,0.19,-0.21,3.96678389920166,0.35,4,14.9795238095238,10.5925561004169,10.7154158071834,116.57,0.517663214106824,-1.09082356296461,135771.48
2006-08-01,"2006-08",14.31,0.05,0.19,3.84223549081681,0.3,4.27,14.6582608695652,10.4158248593414,10.5925561004169,116.55,-0.126768776115264,0.517663214106824,138653.095
2006-09-01,"2006-09",13.69,0.21,0.05,3.69736341340063,0.3,4.4,14.1705,10.0997134756909,10.4158248593414,116.69,-0.651154116532301,-0.126768776115264,145599.225
2006-10-01,"2006-10",13.27,0.33,0.21,3.26507663788074,0.34,3.94,13.9509523809524,10.3480054351228,10.0997134756909,118.13,0.0880366746305761,-0.651154116532301,147551.34
2006-11-01,"2006-11",12.94,0.31,0.33,3.0185960969251,0.35,4.04,13.6505,10.3203735110813,10.3480054351228,118.93,0.208595922192606,0.0880366746305761,154440.846
2006-12-01,"2006-12",12.53,0.48,0.31,3.14177496830441,0.33,4.18,13.1868421052632,9.7390869412957,10.3203735110813,120.47,1.14097956142043,0.208595922192606,176889.613
2007-01-01,"2007-01",12.4,0.44,0.48,2.98796975660105,0.35,4.09,13.1313636363636,9.84910558362808,9.7390869412957,120.03,0.198260534064702,1.14097956142043,158186.929
2007-02-01,"2007-02",12.14,0.44,0.44,3.01873998957281,0.4,4.07,12.93,9.62083210436313,9.84910558362808,120.36,0.0684301517576593,0.198260534064702,156332.282
2007-03-01,"2007-03",11.96,0.37,0.44,2.95719339593172,0.3,3.81,12.7359090909091,9.49784601972625,9.62083210436313,119.45,-1.33704198504049,0.0684301517576593,158398.773
2007-04-01,"2007-04",11.58,0.25,0.37,2.99828997048355,0.32,3.72,12.5795,9.30230009863482,9.49784601972625,121.15,-0.252388788516033,-1.33704198504049,159310.973
2007-05-01,"2007-05",11.06,0.28,0.25,3.18350168072017,0.25,3.47,12.43,8.96121780000372,9.30230009863482,122.25,0.139576994564793,-0.252388788516033,160825.317
2007-06-01,"2007-06",10.86,0.28,0.28,3.6901648315725,0.21,3.37,12.03,8.04303395792088,8.96121780000372,123,0.137075016478768,0.139576994564793,167144.535
2007-07-01,"2007-07",10.82,0.24,0.28,3.74191159513755,0.25,3.5,11.7254545454545,7.69558110850466,8.04303395792088,123.83,0.206693513288919,0.137075016478768,169869.344
2007-08-01,"2007-08",11.33,0.47,0.24,4.1774098746973,0.26,3.6,11.4295652173913,6.96135117144567,7.69558110850466,124.14,-0.22640219698161,0.206693513288919,173480.653
2007-09-01,"2007-09",11.28,0.18,0.47,4.14622214596523,0.29,3.87,11.2194736842105,6.79165445706886,6.96135117144567,125.01,-0.0742712557504258,-0.22640219698161,178379.774
2007-10-01,"2007-10",11.24,0.3,0.18,4.11508104495473,0.3,3.78,11.1795454545455,6.7852460361054,6.79165445706886,126.29,0.539894045313326,-0.0742712557504258,181580.85
2007-11-01,"2007-11",11.46,0.38,0.3,4.187736370178,0.35,3.77,11.18,6.71121561272676,6.7852460361054,126.24,-0.0909093141469652,0.539894045313326,191309.446
2007-12-01,"2007-12",11.84,0.74,0.38,4.45733043323782,0.39,3.95,11.18,6.43580449440919,6.71121561272676,127.42,0.581324475069352,-0.0909093141469652,235075.119
2008-01-01,"2008-01",12.02,0.54,0.74,4.56133016485198,0.43,4.48,11.1781818181818,6.32820148987936,6.43580449440919,127.6,0.322176998341765,0.581324475069352,193738.675
2008-02-01,"2008-02",11.92,0.49,0.54,4.61338180272775,0.41,4.43,11.1789473684211,6.27602841295596,6.32820148987936,127.26,-0.441213865205927,0.322176998341765,187697.652
2008-03-01,"2008-03",12.33,0.48,0.49,4.72803231581229,0.35,4.3,11.1795,6.16021092111518,6.27602841295596,126.29,-1.89855831964514,-0.441213865205927,187702.397
2008-04-01,"2008-04",12.89,0.55,0.48,5.0414329112711,0.32,4.33,11.3733333333333,6.02800270956967,6.16021092111518,128.07,-0.712798746946787,-1.89855831964514,190959.053
2008-05-01,"2008-05",13.72,0.79,0.55,5.57564841570621,0.3,4.56,11.6255,5.73034755180699,6.02800270956967,129.39,0.0213356642220386,-0.712798746946787,187522.192
2008-06-01,"2008-06",14.14,0.74,0.79,6.05994038091584,0.3,5.01,12.0880952380952,5.68372453871764,5.73034755180699,130.53,0.758515620773101,0.0213356642220386,190551.872
2008-07-01,"2008-07",14.57,0.53,0.74,6.36677779821899,0.4,5.51,12.3652173913043,5.63939203316337,5.68372453871764,130.55,0.731633857599625,0.758515620773101,189986.585
2008-08-01,"2008-08",14.57,0.28,0.53,6.16562633229225,0.39,5.56,12.9190476190476,6.36121268254715,5.63939203316337,130.9,1.50037347453044,0.731633857599625,190995.678
2008-09-01,"2008-09",14.65,0.26,0.28,6.25040622954305,0.32,5.16,13.3913636363636,6.7208753926016,6.36121268254715,130.61,2.14344808326111,1.50037347453044,199382.244
2008-10-01,"2008-10",14.92,0.45,0.26,6.4093051421495,0.35,5.07,13.664347826087,6.81805287070114,6.7208753926016,128.18,1.08454017260959,2.14344808326111,193650.031
2008-11-01,"2008-11",14.91,0.36,0.45,6.38810384604627,0.4,5.38,13.64,6.81645399418711,6.81805287070114,125.03,-0.511288442211189,1.08454017260959,201858.589
2008-12-01,"2008-12",12.91,0.28,0.36,5.90231341752547,0.45,5.47,13.659,7.32437879037957,6.81645399418711,121.57,-2.5793542937058,-0.511288442211189,227166.817
2009-01-01,"2009-01",11.5,0.48,0.28,5.83911331005533,0.45,4.88,13.3266666666667,7.07446720068088,7.32437879037957,121.39,-1.83236654419451,-2.5793542937058,199815.307
2009-02-01,"2009-02",11,0.55,0.48,5.9023071283318,0.45,4.59,12.66,6.3810629389587,7.07446720068088,122.37,-0.478088164855508,-1.83236654419451,198079.554
2009-03-01,"2009-03",10.07,0.2,0.55,5.60719719604741,0.35,4.58,11.6568181818182,5.72841732987228,6.3810629389587,122.92,-0.041584914850721,-0.478088164855508,196166.112
2009-04-01,"2009-04",9.91,0.48,0.2,5.53367652171903,0.33,4.17,11.0595,5.23607597158215,5.72841732987228,123.57,0.111918127062538,-0.041584914850721,198350.552
2009-05-01,"2009-05",9.51,0.47,0.48,5.19861573704836,0.3,4.23,10.1595,4.7157315029237,5.23607597158215,124.8,0.570661291697865,0.111918127062538,199654.739
2009-06-01,"2009-06",9.3,0.36,0.47,4.80179745255287,0.29,4.1,9.54047619047619,4.52156246658717,4.7157315029237,125.47,0.293558399280282,0.570661291697865,206491.951
2009-07-01,"2009-07",9.09,0.24,0.36,4.49947455131698,0.31,4.05,9.00608695652174,4.31256944071206,4.52156246658717,125.86,-0.388031837606661,0.293558399280282,202506.493
2009-08-01,"2009-08",9.15,0.15,0.24,4.36400455040289,0.3,4.09,8.65,4.10677557656114,4.31256944071206,127.91,0.492786093680555,-0.388031837606661,206840.405
2009-09-01,"2009-09",9.36,0.24,0.15,4.34318587804092,0.3,3.98,8.65,4.12754708006806,4.10677557656114,128.86,0.235243692252714,0.492786093680555,214465.555
2009-10-01,"2009-10",9.87,0.28,0.24,4.16659711149772,0.35,4.18,8.65,4.30406964691699,4.12754708006806,129.96,0.107506949413793,0.235243692252714,214528.687
2009-11-01,"2009-11",9.94,0.41,0.28,4.21849358275688,0.37,4.25,8.65,4.25213056234035,4.30406964691699,130.07,-1.03186178455322,0.107506949413793,225273.361
2009-12-01,"2009-12",10.28,0.37,0.41,4.31202832968998,0.44,4.35,8.65,4.15864952467357,4.25213056234035,132.01,-0.373259071816489,-1.03186178455322,254714.119
2010-01-01,"2010-01",10.41,0.75,0.37,4.59232538033707,0.49,4.39,8.65,3.87951468227492,4.15864952467357,134,0.378907007501921,-0.373259071816489,231954.83
2010-02-01,"2010-02",10.52,0.78,0.75,4.83157187300221,0.5,4.65,8.65,3.64244097343462,3.87951468227492,135.29,0.581333295931277,0.378907007501921,229539.682
2010-03-01,"2010-03",10.78,0.52,0.78,5.16636332010161,0.35,4.66,8.65,3.31250085095651,3.64244097343462,136.51,0.93914105204241,0.581333295931277,234321.66
2010-04-01,"2010-04",11.17,0.57,0.52,5.26056089871239,0.32,4.72,8.7225,3.28892328876995,3.31250085095651,137.25,1.06900709307852,0.93914105204241,233688.103
